,2012,2014,2016,,
North African,,,0.50%,,
Two or More races,,,,,
Vietnamese/ Vietnamese-American,,,,,
American Indian/ Alaskan Native,,,,,
Korean/ Korean-American,,,0.50%,,
Filipino/ Pilipino,,0.40%,,,
Middle Eastern,,,,,
Other Spanish/ Spanish American ,2.50%,2.60%,1.50%,,
Black/ African American ,1.00%,0.40%,1.50%,,
Japanese/ Japanese American ,3.60%,3.80%,3.50%,,
Latin American/ Latino ,2.00%,1.30%,2.50%,,
Mexican/ Mexican American/ Chicano ,1.00%,1.70%,1.50%,,
Other Asian ,5.60%,8.50%,7.40%,,
Pakistani/ East Indian ,3.00%,3.80%,4.50%,,
European,,,5.90%,,
Chinese/ Chinese American ,,11.10%,8.40%,,
White/ Caucasian,71.60%,66.20%,62.40%,,
