2016 Academic Senate Faculty,31%,,,69%
Non-Senate Instructional Faculty,38%,63%,,
Librarian,,,,
Research,100%,,,
Other Academic Titles,,,,
Medical Interns and Residents,,,,
2014 Academic Senate Faculty,27%,,73%,
Non-Senate Instructional Faculty,30%,70%,,
Librarian,,,,
Research,100%,,,
Other Academic Titles,,,,
Medical Interns and Residents,,,,
2012 Academic Senate Faculty,19%,,81%,
Non-Senate Instructional Faculty,29%,71%,,
Librarian,,,,
Research,,,,
Other Academic Titles,,,,
Medical Interns and Residents,,,,
