2016 Academic Senate Faculty,100%,,,
Non-Senate Instructional Faculty,,,,
Librarian,,,,
Research,25%,,75%,
Other Academic Titles,,,,
Medical Interns and Residents,,68%,,32%
2014 Academic Senate Faculty,,,,
Non-Senate Instructional Faculty,,,,
Librarian,,,,
Research,27%,,73%,
Other Academic Titles,,,,
Medical Interns and Residents,64%,,,36%
2012 Academic Senate Faculty,100%,,,
Non-Senate Instructional Faculty,,,,
Librarian,,,,
Research,27%,,73%,
Other Academic Titles,,,,
Medical Interns and Residents,59%,,41%,
