2016 Academic Senate Faculty,,,,
Non-Senate Instructional Faculty,,76%,24%,
Librarian,,,,
Research,100%,,,
Other Academic Titles,,75%,,25%
Medical Interns and Residents,,,,
2014 Academic Senate Faculty,,,,
Non-Senate Instructional Faculty,73%,27%,,
Librarian,,,,
Research,,,,
Other Academic Titles,78%,,,
Medical Interns and Residents,,,,
2012 Academic Senate Faculty,,,,
Non-Senate Instructional Faculty,63% 38%,,,
Librarian,,,,
Research,,,,
Other Academic Titles,86%,,,
Medical Interns and Residents,,,,
