2016 Academic Senate Faculty,37%,63%,,
Non-Senate Instructional Faculty,36%,64%,,
Librarian,,,,
Research,40%,,60%,
Other Academic Titles,,,,
Medical Interns and Residents,100%,,,
2014 Academic Senate Faculty,41%,59%,,
Non-Senate Instructional Faculty,37%,63%,,
Librarian,,,,
Research,43%,,,57%
Other Academic Titles,,,,
Medical Interns and Residents,,,,
2012 Academic Senate Faculty,45%,55%,,
Non-Senate Instructional Faculty,36%,64%,,
Librarian,,,,
Research,38%,,62%,
Other Academic Titles,,,,
Medical Interns and Residents,100%,,,
