2016 Academic Senate Faculty,21%,79%,
Non-Senate Instructional Faculty,74%,,
Librarian,,,
Research,28%,,72%
Other Academic Titles,67%,,
Medical Interns and Residents,,,
2014 Academic Senate Faculty,,84%,
Non-Senate Instructional Faculty,75%,,
Librarian,,,
Research,29%,,71%
Other Academic Titles,63%,,
Medical Interns and Residents,,,
2012 Academic Senate Faculty,,86%,
Non-Senate Instructional Faculty,75%,,
Librarian,,,
Research,30%,,70%
Other Academic Titles,65%,,
Medical Interns and Residents,,,
