2016 Academic Senate Faculty,24%,76%,,,,
Non-Senate Instructional Faculty,48%,,,,,52%
Librarian,,,,,,
Research,45%,,,55%,,
Other Academic Titles,,,,,,
Medical Interns and Residents,43% 57%,,,,,
2014 Academic Senate Faculty,23%,77%,,,,
Non-Senate Instructional Faculty,46%,,,,54%,
Librarian,,,,,,
Research,48%,,,52%,,
Other Academic Titles,,,,,,
Medical Interns and Residents,44% 56%,,,,,
2012 Academic Senate Faculty,23% 77%,,,,,
Non-Senate Instructional Faculty,42%,,,,58%,
Librarian,,,,,,
Research,48%,,,52%,,
Other Academic Titles,,,,,,
Medical Interns and Residents,46% 54%,,,,,
